               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.025851,            0.025109,           0.0012125,             0.66338,             0.60835,             0.63756,             0.42657,            0.028563,            0.022252,           0.0019076,            0.002971,            0.002971,            0.002971
                  73,            0.025734,            0.025685,           0.0011855,             0.62948,             0.59947,             0.63804,             0.42402,            0.028444,            0.022165,           0.0018368,            0.002872,            0.002872,            0.002872
                  74,            0.025874,            0.025339,           0.0010793,             0.63067,             0.61372,             0.63746,             0.42486,            0.028491,            0.022101,           0.0020562,            0.002773,            0.002773,            0.002773
                  75,            0.025523,            0.024845,           0.0011216,             0.62644,             0.60332,             0.63733,             0.42442,            0.028354,            0.022203,            0.001956,            0.002674,            0.002674,            0.002674
                  76,            0.025591,            0.025214,           0.0010492,             0.62527,             0.60453,             0.63773,             0.42497,            0.028338,            0.022249,           0.0019999,            0.002575,            0.002575,            0.002575
                  77,            0.025552,            0.025382,           0.0010352,             0.62614,             0.60213,             0.63794,             0.42363,            0.028397,            0.022307,           0.0018917,            0.002476,            0.002476,            0.002476
                  78,            0.025296,             0.02475,           0.0010794,             0.62958,             0.60238,             0.63724,             0.42388,             0.02852,            0.022363,           0.0019121,            0.002377,            0.002377,            0.002377
                  79,            0.024928,            0.024651,          0.00095787,             0.63137,             0.59972,              0.6373,             0.42436,            0.028421,            0.022194,           0.0020847,            0.002278,            0.002278,            0.002278
                  80,            0.025242,            0.024415,           0.0009736,             0.62769,             0.59916,             0.63756,             0.42386,            0.028397,            0.022366,           0.0018599,            0.002179,            0.002179,            0.002179
                  81,            0.024895,            0.024611,           0.0010262,             0.62669,             0.60384,             0.63822,             0.42541,            0.028418,            0.022366,           0.0019754,             0.00208,             0.00208,             0.00208
                  82,            0.024864,            0.024862,          0.00093808,             0.62827,             0.60768,             0.63856,             0.42497,            0.028408,            0.022283,           0.0019445,            0.001981,            0.001981,            0.001981
                  83,            0.024906,            0.024772,          0.00099555,             0.62776,             0.60726,             0.63775,             0.42623,            0.028421,            0.022473,           0.0019894,            0.001882,            0.001882,            0.001882
                  84,            0.024639,            0.024279,           0.0010019,               0.626,             0.60637,             0.63754,             0.42575,            0.028386,            0.022456,           0.0019424,            0.001783,            0.001783,            0.001783
                  85,            0.024671,            0.024229,            0.000961,             0.62966,             0.60233,             0.63673,             0.42576,            0.028422,            0.022531,           0.0019849,            0.001684,            0.001684,            0.001684
                  86,            0.024432,            0.023934,           0.0008524,             0.62989,             0.60229,             0.63672,             0.42434,            0.028495,            0.022625,           0.0019792,            0.001585,            0.001585,            0.001585
                  87,            0.024423,            0.023926,          0.00086217,             0.62481,             0.60717,             0.63788,             0.42637,            0.028477,             0.02244,           0.0018818,            0.001486,            0.001486,            0.001486
                  88,            0.024364,            0.024312,          0.00088035,             0.63012,             0.60176,             0.63748,             0.42704,            0.028462,            0.022652,           0.0018715,            0.001387,            0.001387,            0.001387
                  89,            0.024468,            0.023754,          0.00088389,             0.63051,              0.6023,             0.63808,             0.42645,            0.028457,            0.022544,           0.0019502,            0.001288,            0.001288,            0.001288
                  90,            0.024264,            0.023641,          0.00084846,             0.64472,              0.6151,             0.63815,             0.42545,            0.028488,            0.022467,           0.0019932,            0.001189,            0.001189,            0.001189
                  91,            0.024374,            0.023742,          0.00082581,             0.63056,             0.60144,             0.63633,             0.42591,            0.028493,              0.0227,           0.0020159,             0.00109,             0.00109,             0.00109
                  92,            0.024191,            0.023364,          0.00095157,             0.62963,             0.60231,             0.63737,             0.42624,            0.028486,            0.022647,           0.0019654,            0.000991,            0.000991,            0.000991
                  93,            0.024178,            0.024096,          0.00095955,             0.62703,             0.60753,             0.63713,             0.42655,            0.028529,            0.022764,           0.0019555,            0.000892,            0.000892,            0.000892
                  94,            0.024062,            0.023852,          0.00076248,             0.62842,             0.60481,             0.63766,             0.42656,            0.028461,            0.022773,           0.0019616,            0.000793,            0.000793,            0.000793
                  95,            0.023951,             0.02331,          0.00085563,             0.62847,             0.60609,             0.63745,             0.42567,            0.028482,            0.022745,           0.0019403,            0.000694,            0.000694,            0.000694
                  96,            0.024058,            0.023697,          0.00079347,             0.63106,             0.60401,             0.63667,             0.42591,            0.028473,            0.022711,           0.0019536,            0.000595,            0.000595,            0.000595
                  97,            0.023847,            0.023128,          0.00080049,             0.62821,             0.60597,             0.63727,             0.42775,            0.028432,            0.022732,           0.0019737,            0.000496,            0.000496,            0.000496
                  98,            0.023755,            0.023761,          0.00083414,             0.62875,             0.60462,             0.63791,             0.42685,            0.028414,            0.022698,           0.0019436,            0.000397,            0.000397,            0.000397
                  99,            0.023509,            0.023433,          0.00079075,             0.62876,             0.60564,             0.63827,             0.42718,            0.028419,            0.022721,           0.0019558,            0.000298,            0.000298,            0.000298
